,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
霊柩運送員G,,,,,,,,運,運,,運,運,,運,,,,,,,,,,,,,,,,,
火葬業務統括A,,,,,,,,,,,,囲,囲,囲,,,,,囲,,,,,,,,,,,,囲
葬副統括A,,,囲,,,囲,,,,,,,,,囲,囲,囲,,,,,,,,,,,,,,
パート長A,動,動,,,人,人,人,,,,,,,,人,人,,人,,人,動,,,,,,,,,,
パート長B,,,,,,人,,,,,,,,,,,,,,,,人,,人,動,人,人,,,,人
パート長C,,,人,,人,人,人,人,動,人,,,,動,,,,,,,,,人,,,,,,,人,
パート長D,,,,動,人,人,人,,,人,,,,,動,,人,動,,,,,,,,,,,,動,
パート長E,,人,人,,動,,,,人,人,,,,,,,,,,,,,,人,,,人,人,,,
パート長F,,,人,,,,,人,,人,,,,,人,,,人,人,,,,人,,,,,,人,,
パート長G,,,,人,,,,,人,,動,動,人,人,,,,,,動,,,,,,,,,,,
パート短A,,,,,,,,人,,,人,人,,,,,動,,人,,,,,動,,,,人,,,
パート短B,人,,,,,,,,,,人,,,,,,,,,,人,人,,,人,,,,人,,動
パート短C,,,,,,,人,,人,,人,人,人,人,,人,,,動,,,,,,,,,,,人,
パート短D,,,,,人,,,,,,,,人,,,人,,,,,,,,人,,,人,動,,人,
パート短E,,,,,,,,,人,,,,人,人,,,,,,,人,人,,人,,,,,,,人
パート短F,,,,,,,,,,,,,,人,,動,人,,人,,,,動,,,,人,,人,,
パート短G,,人,,,,,,人,,,,,,,,,,,人,,,人,人,,,,,,人,人,
N1,,,,,運,,運,,,,,,,,,,清,,,清,囲,清,,,,,,運,運,,
N2,,清,,,,,責,,,,,,,,,,,,運,,,,,,責,清,,,,運,
N3,,,,,,,,,,,清,,,,,,,,,,清,,,,,,,,事,,
N4,,,,,清,,,,,,,運,,,,,,,,,,,,,,責,,,,清,
N5,,,,,,,囲,清,囲,,,,,,,,,囲,,清,責,,,清,清,,,清,,,
N6,囲,,事,,,,,囲,,,,,,,,,,責,,,,,,運,事,清,囲,,,,
N7,運,,運,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8,,,運,,責,,,,,,,,,,,,,事,,,,囲,,,,,,,,,
N9,,,,,,,,責,,,,,,,,責,責,,運,,,,,責,,,運,,,,運
N10,,,,,,,,,,,,,,清,,,,,,,清,,,,,,,,囲,囲,
N11,,囲,,囲,,,,,,,清,責,,,運,,,,,,,,,,運,囲,,,責,,
N12,事,事,,,,,,,責,,,,,,責,,,,,,,,囲,,,,,,,責,清
N13,清,,,,,,,,,,,,,事,,,,,,,,,,,運,,,運,,,
N14,,,,,,,,,,,,,,,,,,,,,,責,,,,,,,,,
N15,,,,,,,,,,,,,責,,,,,,,,,,,清,,,,囲,,,
N16,,,,,,,,,,責,,,,,,,,,責,,,清,,,,運,責,,,,
N17,,,,運,事,,,,,,,,,,,,,,,,,,,,,,,,,清,
N18,清,,,,運,,運,,,運,,,,,運,清,,,,,,,,,,,,,運,,
N19,,,,,囲,,,,,,囲,,,,,,,,,,,,運,,,,,,,,
N20,,,,,,責,,,,囲,責,,,,,,,,,囲,,,運,囲,囲,,清,責,清,,責
