staff,type,start_day,works,max,min
売店従業員C,over_7days,8.0,6,5.0,
売店従業員C,over_7days,9.0,6,5.0,
売店従業員C,over_7days,10.0,6,5.0,
売店従業員C,over_7days,11.0,6,5.0,
売店従業員C,over_7days,12.0,7,5.0,
売店従業員C,over_7days,13.0,7,5.0,
売店従業員C,over_7days,14.0,7,5.0,
売店従業員C,over_7days,15.0,7,5.0,
売店従業員C,over_7days,16.0,7,5.0,
売店従業員C,over_7days,17.0,6,5.0,
売店従業員C,over_7days,25.0,6,5.0,
売店従業員C,over_consecutive,2.0,8,7.0,
売店従業員C,over_consecutive,3.0,8,7.0,
売店従業員C,over_consecutive,12.0,8,7.0,
売店従業員C,over_consecutive,13.0,8,7.0,
売店従業員C,over_consecutive,14.0,8,7.0,
売店従業員C,over_consecutive,15.0,8,7.0,
霊柩運送員A,over_7days,8.0,6,5.0,
霊柩運送員A,over_7days,9.0,6,5.0,
霊柩運送員A,over_7days,17.0,6,5.0,
霊柩運送員A,over_7days,18.0,7,5.0,
霊柩運送員A,over_7days,19.0,6,5.0,
霊柩運送員A,over_7days,20.0,6,5.0,
霊柩運送員A,over_7days,21.0,6,5.0,
霊柩運送員A,over_7days,22.0,6,5.0,
霊柩運送員A,over_7days,23.0,6,5.0,
霊柩運送員A,over_7days,24.0,6,5.0,
霊柩運送員A,over_7days,25.0,6,5.0,
霊柩運送員B,over_7days,13.0,6,5.0,
霊柩運送員B,over_7days,14.0,6,5.0,
霊柩運送員B,over_7days,15.0,6,5.0,
霊柩運送員B,over_7days,22.0,6,5.0,
霊柩運送員B,over_7days,23.0,7,5.0,
霊柩運送員B,over_7days,24.0,6,5.0,
霊柩運送員B,over_7days,25.0,6,5.0,
霊柩運送員C,over_7days,1.0,6,5.0,
霊柩運送員C,over_7days,2.0,7,5.0,
霊柩運送員C,over_7days,3.0,7,5.0,
霊柩運送員C,over_7days,4.0,6,5.0,
霊柩運送員C,over_7days,5.0,6,5.0,
霊柩運送員C,over_7days,6.0,6,5.0,
霊柩運送員C,over_7days,7.0,6,5.0,
霊柩運送員C,over_7days,8.0,6,5.0,
霊柩運送員C,over_7days,9.0,6,5.0,
霊柩運送員C,over_7days,10.0,6,5.0,
霊柩運送員C,over_7days,11.0,7,5.0,
霊柩運送員C,over_7days,12.0,7,5.0,
霊柩運送員C,over_7days,13.0,6,5.0,
霊柩運送員C,over_7days,14.0,6,5.0,
霊柩運送員C,over_consecutive,2.0,8,7.0,
霊柩運送員C,over_consecutive,11.0,8,7.0,
パート長A,over_consecutive,12.0,4,3.0,
パート長A,over_consecutive,13.0,4,3.0,
パート長B,over_consecutive,26.0,4,3.0,
パート長B,over_consecutive,27.0,4,3.0,
パート長C,over_consecutive,7.0,4,3.0,
パート長C,over_consecutive,12.0,4,3.0,
パート長C,over_consecutive,13.0,4,3.0,
パート短A,over_consecutive,19.0,4,3.0,
パート短A,over_consecutive,20.0,4,3.0,
パート短A,over_consecutive,21.0,4,3.0,
パート短C,over_consecutive,24.0,4,3.0,
パート短D,over_consecutive,10.0,4,3.0,
パート短D,over_consecutive,11.0,4,3.0,
パート短D,over_consecutive,12.0,4,3.0,
パート短D,over_consecutive,13.0,4,3.0,
